845;994;449;786;611;712;686;406;263;131;327;910;955;136;388;159;372;528;392
324;53;871;906;437;682;805;110;793;644;96;245;550;386;794;392;39;102;214
777;535;152;663;837;436;707;607;432;964;354;898;642;861;666;964;100;587;105
384;379;779;181;406;287;26;510;499;627;666;109;3;967;206;782;484;555;634
700;935;953;95;931;141;17;406;111;206;576;127;150;542;679;283;279;79;507
290;380;297;811;525;473;973;852;216;35;674;750;247;514;389;320;151;968;534
115;675;720;629;472;817;828;646;568;237;930;75;573;634;961;402;703;963;599
414;630;28;708;13;63;125;591;30;307;171;320;405;888;987;628;468;170;774
630;700;645;650;99;179;583;33;396;396;132;960;350;279;359;708;114;14;845
236;186;972;689;488;583;476;501;785;355;279;861;153;193;221;232;626;218;376
487;859;611;82;635;575;707;645;58;891;517;926;619;973;187;571;759;40;228
144;81;203;853;171;98;521;520;92;990;595;318;378;133;687;978;277;270;821
283;497;217;307;50;89;159;983;959;989;718;108;195;164;177;302;49;256;12
725;597;897;259;948;898;11;417;505;725;474;787;518;804;336;816;247;694;702
53;765;11;889;542;788;989;317;191;691;54;564;74;847;588;533;969;921;511
987;730;843;706;87;783;393;201;31;966;848;626;620;165;34;590;513;126;526
208;383;354;842;171;811;275;224;845;924;25;636;606;336;24;307;334;81;485
781;442;880;999;586;428;465;610;263;461;49;813;649;473;810;410;407;128;256
259;48;506;732;427;868;985;126;87;606;284;802;708;482;539;622;482;396;788
